City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jalu,LY,29.0331,21.5482,85.5,10,0,10.58,clear sky
1,Rikitea,PF,-23.1203,-134.9692,76.17,64,45,8.79,scattered clouds
2,Kuching,MY,1.55,110.3333,77.22,100,40,0.0,scattered clouds
3,Punta Arenas,CL,-53.15,-70.9167,44.11,70,25,26.91,scattered clouds
4,Nikolskoye,RU,59.7035,30.7861,31.91,95,71,1.63,broken clouds
5,Yerbogachen,RU,61.2767,108.0108,7.38,96,93,6.6,overcast clouds
6,Utete,TZ,-7.986,38.758,76.32,88,16,4.76,few clouds
7,Monteagudo,BO,-19.8167,-63.9833,87.28,37,76,5.35,broken clouds
8,Buraydah,SA,26.326,43.975,84.79,9,98,4.56,overcast clouds
9,Hithadhoo,MV,-0.6,73.0833,83.61,69,31,4.76,scattered clouds
10,Mount Gambier,AU,-37.8333,140.7667,52.7,94,21,3.0,few clouds
11,Vaini,TO,-21.2,-175.2,79.14,75,11,5.41,light rain
12,Presidente Medici,BR,-11.1753,-61.9014,85.19,67,50,2.15,scattered clouds
13,Gerash,IR,27.6652,54.1371,76.91,16,72,3.13,broken clouds
14,Mar Del Plata,AR,-38.0023,-57.5575,75.22,62,20,21.0,few clouds
15,Rivers,CA,50.0308,-100.2403,28.94,90,100,6.98,overcast clouds
16,Saint-Ambroise,CA,48.5501,-71.3324,34.07,78,98,3.44,overcast clouds
17,Bowen,AU,-20.0167,148.2333,77.77,80,26,7.78,scattered clouds
18,Constitucion,CL,-35.3333,-72.4167,62.11,43,1,18.68,clear sky
19,Gat,IL,31.61,34.7642,75.4,100,71,7.05,broken clouds
20,El Alto,PE,-4.2714,-81.2147,77.88,64,21,13.4,few clouds
21,Guerrero Negro,MX,27.9769,-114.0611,63.21,60,72,13.02,broken clouds
22,San Patricio,US,28.017,-97.5169,80.17,47,0,10.8,clear sky
23,Ostrovnoy,RU,68.0531,39.5131,18.0,89,100,9.46,overcast clouds
24,Ilulissat,GL,69.2167,-51.1,28.42,80,75,3.44,broken clouds
25,Inirida,CO,3.8653,-67.9239,81.86,80,99,3.47,overcast clouds
26,Castro,BR,-24.7911,-50.0119,70.0,77,96,7.83,overcast clouds
27,Karaton,ID,-6.3424,106.1045,74.05,91,100,3.69,overcast clouds
28,Torres,BR,-29.3353,-49.7269,72.82,78,92,16.33,light rain
29,Ushuaia,AR,-54.8,-68.3,43.0,67,39,9.89,light rain
30,Atuona,PF,-9.8,-139.0333,78.98,72,92,22.82,overcast clouds
31,Manuk Mangkaw,PH,4.8,119.85,81.16,75,99,7.47,overcast clouds
32,Bethel,US,41.3712,-73.414,45.68,86,100,1.01,moderate rain
33,Ust-Barguzin,RU,53.45,108.9833,17.56,84,100,1.48,overcast clouds
34,Iqaluit,CA,63.7506,-68.5145,26.33,86,75,23.02,broken clouds
35,Ambon,ID,-3.6954,128.1814,80.8,71,99,4.32,overcast clouds
36,New Norfolk,AU,-42.7826,147.0587,55.92,88,98,1.39,overcast clouds
37,Isangel,VU,-19.55,169.2667,79.95,85,100,8.39,overcast clouds
38,Miandrivazo,MG,-19.5167,45.4667,77.95,75,3,1.9,clear sky
